clip,filename_label,working_side,peak_margin,lateral_max,contra_rise,lift_seconds,trunk_disp,rubric_label,r1_plane,r2_range,r3_symmetry,r4_tempo,r5_trunk
W15,BAD,right,0.45,0.234,0.105,0.73,0.134,GOOD,True,True,True,True,True
W17,BAD,right,0.419,0.264,0.055,0.47,0.181,BAD,False,False,True,False,True
W19,BAD,left,0.329,0.269,0.184,1.23,0.221,BAD,False,False,False,True,True
W20,BAD,right,0.407,0.295,0.15,2.07,0.089,BAD,False,False,False,True,True
W21,BAD,right,0.441,0.268,0.063,0.37,0.213,BAD,False,True,True,False,True
W22,BAD,left,0.495,0.187,0.079,0.73,0.097,GOOD,True,True,True,True,True
W24,BAD,right,0.476,0.2,0.097,0.53,0.215,BAD,True,True,True,False,True
W25,BAD,right,0.488,0.215,0.036,0.93,0.196,GOOD,True,True,True,True,True
W26,BAD,left,0.447,0.258,0.039,6.1,0.195,BAD,False,True,True,False,True
W27,BAD,left,0.485,0.22,0.034,0.43,0.294,BAD,True,True,True,False,True
W29,BAD,right,0.485,0.257,0.04,0.73,0.169,BAD,False,True,True,True,True
W30,BAD,right,0.505,0.194,0.013,0.07,0.161,BAD,True,True,True,False,True
W31,BAD,right,0.463,0.24,0.056,6.0,0.151,BAD,True,True,True,False,True
W34,BAD,left,0.497,0.256,0.071,0.6,0.357,BAD,False,True,True,True,False
W35,BAD,right,0.527,0.223,0.083,3.73,0.115,GOOD,True,True,True,True,True
W36,BAD,right,0.31,0.161,0.072,0.3,0.209,BAD,True,False,True,False,True
W37,BAD,left,0.481,0.129,0.008,0.73,0.106,GOOD,True,True,True,True,True
W38,BAD,right,0.476,0.166,0.078,0.43,0.143,BAD,True,True,True,False,True
W39,BAD,right,0.479,0.154,0.069,0.7,0.19,GOOD,True,True,True,True,True
W40,BAD,right,0.476,0.175,0.091,0.47,0.318,BAD,True,True,True,False,True
W41,BAD,right,0.473,0.3,0.1,0.47,0.161,BAD,False,True,True,False,True
W42,BAD,left,0.47,0.273,0.109,0.67,0.191,BAD,False,True,True,True,True
W43,BAD,left,0.457,0.257,0.089,0.67,0.184,BAD,False,True,True,True,True
