clip,filename_label,working_side,peak_margin,lateral_max,contra_rise,lift_seconds,trunk_disp
W09,BAD,left,0.445,0.202,0.031,5.13,0.252
W10,BAD,left,0.441,0.154,0.008,0.8,0.151
W11,BAD,left,0.437,0.189,0.087,1.0,0.285
W12,BAD,right,0.455,0.247,0.084,0.53,0.189
W13,BAD,right,0.492,0.157,0.076,0.47,0.14
W14,BAD,right,0.505,0.194,0.096,0.53,0.295
W15,BAD,right,0.45,0.234,0.105,0.73,0.134
W17,BAD,right,0.419,0.264,0.055,0.47,0.181
W19,BAD,left,0.329,0.269,0.184,1.23,0.221
W20,BAD,right,0.407,0.295,0.15,2.07,0.089
W21,BAD,right,0.441,0.268,0.063,0.37,0.213
W22,BAD,left,0.495,0.187,0.079,0.73,0.097
W24,BAD,right,0.476,0.2,0.097,0.53,0.215
W25,BAD,right,0.488,0.215,0.036,0.93,0.196
W26,BAD,left,0.447,0.258,0.039,6.1,0.195
W27,BAD,left,0.485,0.22,0.034,0.43,0.294
W29,BAD,right,0.485,0.257,0.04,0.73,0.169
W30,BAD,right,0.505,0.194,0.013,0.07,0.161
W31,BAD,right,0.463,0.24,0.056,6.0,0.151
W34,BAD,left,0.497,0.256,0.071,0.6,0.357
W35,BAD,right,0.527,0.223,0.083,3.73,0.115
W36,BAD,right,0.31,0.161,0.072,0.3,0.209
W37,BAD,left,0.481,0.129,0.008,0.73,0.106
W38,BAD,right,0.476,0.166,0.078,0.43,0.143
W39,BAD,right,0.479,0.154,0.069,0.7,0.19
W40,BAD,right,0.476,0.175,0.091,0.47,0.318
W41,BAD,right,0.473,0.3,0.1,0.47,0.161
W42,BAD,left,0.47,0.273,0.109,0.67,0.191
W43,BAD,left,0.457,0.257,0.089,0.67,0.184
