clip,score_rescaled,good_probability
A39_kinect,2.741754,0.9004
A3_kinect,1.80279,0.9594
A40_kinect,1.408237,0.6371
A41_kinect,1.385053,0.9633
A42_kinect,1.51559,0.9557
A43_kinect,1.421066,0.954
A44_kinect,3.076726,0.9677
A45_kinect,2.602775,0.9571
A46_kinect,1.901279,0.7984
A47_kinect,2.265626,0.9641
A48_kinect,2.040545,0.918
A49_kinect,2.278843,0.5062
A4_kinect,1.433507,0.9441
A50_kinect,2.028099,0.8509
A51_kinect,2.0754,0.8524
A52_kinect,2.834581,0.6509
A55_kinect,2.961898,0.5387
A56_kinect,2.271822,0.7082
A57_kinect,2.384833,0.9122
A58_kinect,2.944502,0.708
A59_kinect,2.799911,0.5057
A5_kinect,0.038691,0.9567
A61_kinect,1.757502,0.9273
A62_kinect,2.864565,0.8614
A63_kinect,1.686473,0.9525
A64_kinect,2.918059,0.9455
A65_kinect,3.068461,0.929
A66_kinect,2.85399,0.9506
A67_kinect,2.767164,0.9081
A68_kinect,2.995145,0.8841
A69_kinect,3.058153,0.9392
A6_kinect,0.800334,0.9517
A70_kinect,2.057554,0.9499
A71_kinect,2.790167,0.8247
A72_kinect,2.416113,0.5233
A74_kinect,1.623721,0.9384
A75_kinect,1.80899,0.9188
A78_kinect,3.521881,0.9336
A79_kinect,2.783191,0.7367
A7_kinect,0.80455,0.9518
A80_kinect,2.287865,0.8977
A81_kinect,2.698544,0.9785
A82_kinect,2.587088,0.8373
A83_kinect,2.840485,0.8912
A84_kinect,1.716574,0.5483
A85_kinect,2.47209,0.8184
A86_kinect,2.013803,0.9777
A87_kinect,2.897675,0.9751
A88_kinect,2.872328,0.7985
A89_kinect,2.790146,0.8884
A8_kinect,1.108636,0.9569
A90_kinect,2.46511,0.6894
A91_kinect,2.733101,0.9436
A92_kinect,2.778626,0.8448
A93_kinect,1.49104,0.9669
A94_kinect,2.598823,0.9634
A95_kinect,2.313976,0.8386
A96_kinect,2.01614,0.9145
A97_kinect,3.484983,0.849
A98_kinect,2.217537,0.9096
A99_kinect,3.283313,0.9623
A9_kinect,1.386389,0.9619
B10_kinect,1.49109,0.9697
B11_kinect,1.094415,0.9678
B12_kinect,0.516662,0.9693
B13_kinect,0.897532,0.9681
B14_kinect,1.523758,0.9669
B15_kinect,1.251572,0.9659
B16_kinect,0.977059,0.965
B17_kinect,1.38958,0.9683
B18_kinect,1.206535,0.9643
B19_kinect,0.564955,0.9665
B1_kinect,2.456286,0.9674
B20_kinect,1.362072,0.9685
B21_kinect,1.418573,0.9665
B22_kinect,1.198862,0.9672
B2_kinect,4.0,0.8259
B3_kinect,3.414489,0.8021
B5_kinect,2.820563,0.9142
B6_kinect,1.394739,0.9688
B7_kinect,0.932184,0.9684
B8_kinect,1.345632,0.9703
B9_kinect,1.054197,0.969
A1_kinect,0.0,0.9612
