clip,score_rescaled,good_probability
A121_kinect,3.318684,0.8986
A121_kinect_mirror,3.318684,0.8986
A121_kinect_rotate_pos,3.318684,0.8986
A121_kinect_rotate_neg,3.318684,0.8986
A121_kinect_stretch,3.318684,0.8986
A124_kinect,2.254745,0.9665
A124_kinect_mirror,2.254745,0.9665
A124_kinect_rotate_pos,2.254745,0.9665
A124_kinect_rotate_neg,2.254745,0.9665
A124_kinect_stretch,2.254745,0.9665
A126_kinect,1.351078,0.9792
A126_kinect_mirror,1.351078,0.9792
A126_kinect_rotate_pos,1.351078,0.9792
A126_kinect_rotate_neg,1.351078,0.9792
A126_kinect_stretch,1.351078,0.9792
A127_kinect,1.572074,0.9752
A127_kinect_mirror,1.572074,0.9752
A127_kinect_rotate_pos,1.572074,0.9752
A127_kinect_rotate_neg,1.572074,0.9752
A127_kinect_stretch,1.572074,0.9752
A128_kinect,1.105617,0.9701
A128_kinect_mirror,1.105617,0.9701
A128_kinect_rotate_pos,1.105617,0.9701
A128_kinect_rotate_neg,1.105617,0.9701
A128_kinect_stretch,1.105617,0.9701
A129_kinect,1.100057,0.9754
A129_kinect_mirror,1.100057,0.9754
A129_kinect_rotate_pos,1.100057,0.9754
A129_kinect_rotate_neg,1.100057,0.9754
A129_kinect_stretch,1.100057,0.9754
A130_kinect,1.516654,0.9719
A130_kinect_mirror,1.516654,0.9719
A130_kinect_rotate_pos,1.516654,0.9719
A130_kinect_rotate_neg,1.516654,0.9719
A130_kinect_stretch,1.516654,0.9719
A131_kinect,1.515411,0.9667
A131_kinect_mirror,1.515411,0.9667
A131_kinect_rotate_pos,1.515411,0.9667
A131_kinect_rotate_neg,1.515411,0.9667
A131_kinect_stretch,1.515411,0.9667
A132_kinect,1.251718,0.9693
A132_kinect_mirror,1.251718,0.9693
A132_kinect_rotate_pos,1.251718,0.9693
A132_kinect_rotate_neg,1.251718,0.9693
A132_kinect_stretch,1.251718,0.9693
A133_kinect,1.757203,0.9706
A133_kinect_mirror,1.757203,0.9706
A133_kinect_rotate_pos,1.757203,0.9706
A133_kinect_rotate_neg,1.757203,0.9706
A133_kinect_stretch,1.757203,0.9706
A134_kinect,1.490712,0.9687
A134_kinect_mirror,1.490712,0.9687
A134_kinect_rotate_pos,1.490712,0.9687
A134_kinect_rotate_neg,1.490712,0.9687
A134_kinect_stretch,1.490712,0.9687
A135_kinect,1.893124,0.9692
A135_kinect_mirror,1.893124,0.9692
A135_kinect_rotate_pos,1.893124,0.9692
A135_kinect_rotate_neg,1.893124,0.9692
A135_kinect_stretch,1.893124,0.9692
A136_kinect,1.551273,0.9654
A136_kinect_mirror,1.551273,0.9654
A136_kinect_rotate_pos,1.551273,0.9654
A136_kinect_rotate_neg,1.551273,0.9654
A136_kinect_stretch,1.551273,0.9654
A137_kinect,0.867814,0.9674
A137_kinect_mirror,0.867814,0.9674
A137_kinect_rotate_pos,0.867814,0.9674
A137_kinect_rotate_neg,0.867814,0.9674
A137_kinect_stretch,0.867814,0.9674
A138_kinect,1.097138,0.9642
A138_kinect_mirror,1.097138,0.9642
A138_kinect_rotate_pos,1.097138,0.9642
A138_kinect_rotate_neg,1.097138,0.9642
A138_kinect_stretch,1.097138,0.9642
A139_kinect,0.753136,0.9669
A139_kinect_mirror,0.753136,0.9669
A139_kinect_rotate_pos,0.753136,0.9669
A139_kinect_rotate_neg,0.753136,0.9669
A139_kinect_stretch,0.753136,0.9669
A13_kinect,0.980863,0.9156
A13_kinect_mirror,0.980863,0.9156
A13_kinect_rotate_pos,0.980863,0.9156
A13_kinect_rotate_neg,0.980863,0.9156
A13_kinect_stretch,0.980863,0.9156
A140_kinect,1.419925,0.9159
A140_kinect_mirror,1.419925,0.9159
A140_kinect_rotate_pos,1.419925,0.9159
A140_kinect_rotate_neg,1.419925,0.9159
A140_kinect_stretch,1.419925,0.9159
A142_kinect,1.057791,0.9389
A142_kinect_mirror,1.057791,0.9389
A142_kinect_rotate_pos,1.057791,0.9389
A142_kinect_rotate_neg,1.057791,0.9389
A142_kinect_stretch,1.057791,0.9389
A143_kinect,0.999268,0.9152
A143_kinect_mirror,0.999268,0.9152
A143_kinect_rotate_pos,0.999268,0.9152
A143_kinect_rotate_neg,0.999268,0.9152
A143_kinect_stretch,0.999268,0.9152
A144_kinect,1.172791,0.9192
A144_kinect_mirror,1.172791,0.9192
A144_kinect_rotate_pos,1.172791,0.9192
A144_kinect_rotate_neg,1.172791,0.9192
A144_kinect_stretch,1.172791,0.9192
A145_kinect,2.050851,0.9231
A145_kinect_mirror,2.050851,0.9231
A145_kinect_rotate_pos,2.050851,0.9231
A145_kinect_rotate_neg,2.050851,0.9231
A145_kinect_stretch,2.050851,0.9231
A146_kinect,1.254569,0.9082
A146_kinect_mirror,1.254569,0.9082
A146_kinect_rotate_pos,1.254569,0.9082
A146_kinect_rotate_neg,1.254569,0.9082
A146_kinect_stretch,1.254569,0.9082
A147_kinect,1.240061,0.9376
A147_kinect_mirror,1.240061,0.9376
A147_kinect_rotate_pos,1.240061,0.9376
A147_kinect_rotate_neg,1.240061,0.9376
A147_kinect_stretch,1.240061,0.9376
A148_kinect,1.357286,0.8991
A148_kinect_mirror,1.357286,0.8991
A148_kinect_rotate_pos,1.357286,0.8991
A148_kinect_rotate_neg,1.357286,0.8991
A148_kinect_stretch,1.357286,0.8991
A149_kinect,3.076539,0.92
A149_kinect_mirror,3.076539,0.92
A149_kinect_rotate_pos,3.076539,0.92
A149_kinect_rotate_neg,3.076539,0.92
A149_kinect_stretch,3.076539,0.92
A150_kinect,2.644308,0.9758
A150_kinect_mirror,2.644308,0.9758
A150_kinect_rotate_pos,2.644308,0.9758
A150_kinect_rotate_neg,2.644308,0.9758
A150_kinect_stretch,2.644308,0.9758
A151_kinect,1.747601,0.9573
A151_kinect_mirror,1.747601,0.9573
A151_kinect_rotate_pos,1.747601,0.9573
A151_kinect_rotate_neg,1.747601,0.9573
A151_kinect_stretch,1.747601,0.9573
A152_kinect,2.21872,0.899
A152_kinect_mirror,2.21872,0.899
A152_kinect_rotate_pos,2.21872,0.899
A152_kinect_rotate_neg,2.21872,0.899
A152_kinect_stretch,2.21872,0.899
A154_kinect,1.238054,0.9566
A154_kinect_mirror,1.238054,0.9566
A154_kinect_rotate_pos,1.238054,0.9566
A154_kinect_rotate_neg,1.238054,0.9566
A154_kinect_stretch,1.238054,0.9566
A155_kinect,1.521815,0.7739
A155_kinect_mirror,1.521815,0.7739
A155_kinect_rotate_pos,1.521815,0.7739
A155_kinect_rotate_neg,1.521815,0.7739
A155_kinect_stretch,1.521815,0.7739
A157_kinect,1.78557,0.9536
A157_kinect_mirror,1.78557,0.9536
A157_kinect_rotate_pos,1.78557,0.9536
A157_kinect_rotate_neg,1.78557,0.9536
A157_kinect_stretch,1.78557,0.9536
A159_kinect,2.533016,0.9462
A159_kinect_mirror,2.533016,0.9462
A159_kinect_rotate_pos,2.533016,0.9462
A159_kinect_rotate_neg,2.533016,0.9462
A159_kinect_stretch,2.533016,0.9462
A15_kinect,1.242737,0.9334
A15_kinect_mirror,1.242737,0.9334
A15_kinect_rotate_pos,1.242737,0.9334
A15_kinect_rotate_neg,1.242737,0.9334
A15_kinect_stretch,1.242737,0.9334
A16_kinect,0.731647,0.9599
A16_kinect_mirror,0.731647,0.9599
A16_kinect_rotate_pos,0.731647,0.9599
A16_kinect_rotate_neg,0.731647,0.9599
A16_kinect_stretch,0.731647,0.9599
A17_kinect,1.247671,0.9496
A17_kinect_mirror,1.247671,0.9496
A17_kinect_rotate_pos,1.247671,0.9496
A17_kinect_rotate_neg,1.247671,0.9496
A17_kinect_stretch,1.247671,0.9496
A18_kinect,0.72968,0.9531
A18_kinect_mirror,0.72968,0.9531
A18_kinect_rotate_pos,0.72968,0.9531
A18_kinect_rotate_neg,0.72968,0.9531
A18_kinect_stretch,0.72968,0.9531
A19_kinect,1.687446,0.9634
A19_kinect_mirror,1.687446,0.9634
A19_kinect_rotate_pos,1.687446,0.9634
A19_kinect_rotate_neg,1.687446,0.9634
A19_kinect_stretch,1.687446,0.9634
A1_kinect,0.0,0.9612
A1_kinect_mirror,0.0,0.9612
A1_kinect_rotate_pos,0.0,0.9612
A1_kinect_rotate_neg,0.0,0.9612
A1_kinect_stretch,0.0,0.9612
A20_kinect,1.851055,0.9589
A20_kinect_mirror,1.851055,0.9589
A20_kinect_rotate_pos,1.851055,0.9589
A20_kinect_rotate_neg,1.851055,0.9589
A20_kinect_stretch,1.851055,0.9589
A21_kinect,1.325,0.93
A21_kinect_mirror,1.325,0.93
A21_kinect_rotate_pos,1.325,0.93
A21_kinect_rotate_neg,1.325,0.93
A21_kinect_stretch,1.325,0.93
A22_kinect,0.646539,0.9542
A22_kinect_mirror,0.646539,0.9542
A22_kinect_rotate_pos,0.646539,0.9542
A22_kinect_rotate_neg,0.646539,0.9542
A22_kinect_stretch,0.646539,0.9542
A23_kinect,1.414037,0.9625
A23_kinect_mirror,1.414037,0.9625
A23_kinect_rotate_pos,1.414037,0.9625
A23_kinect_rotate_neg,1.414037,0.9625
A23_kinect_stretch,1.414037,0.9625
A24_kinect,0.0,0.959
A24_kinect_mirror,0.0,0.959
A24_kinect_rotate_pos,0.0,0.959
A24_kinect_rotate_neg,0.0,0.959
A24_kinect_stretch,0.0,0.959
A26_kinect,1.30778,0.9453
A26_kinect_mirror,1.30778,0.9453
A26_kinect_rotate_pos,1.30778,0.9453
A26_kinect_rotate_neg,1.30778,0.9453
A26_kinect_stretch,1.30778,0.9453
A27_kinect,1.126408,0.9519
A27_kinect_mirror,1.126408,0.9519
A27_kinect_rotate_pos,1.126408,0.9519
A27_kinect_rotate_neg,1.126408,0.9519
A27_kinect_stretch,1.126408,0.9519
A28_kinect,0.968288,0.9729
A28_kinect_mirror,0.968288,0.9729
A28_kinect_rotate_pos,0.968288,0.9729
A28_kinect_rotate_neg,0.968288,0.9729
A28_kinect_stretch,0.968288,0.9729
A29_kinect,1.370146,0.9606
A29_kinect_mirror,1.370146,0.9606
A29_kinect_rotate_pos,1.370146,0.9606
A29_kinect_rotate_neg,1.370146,0.9606
A29_kinect_stretch,1.370146,0.9606
A2_kinect,1.031166,0.9579
A2_kinect_mirror,1.031166,0.9579
A2_kinect_rotate_pos,1.031166,0.9579
A2_kinect_rotate_neg,1.031166,0.9579
A2_kinect_stretch,1.031166,0.9579
A30_kinect,0.475864,0.9489
A30_kinect_mirror,0.475864,0.9489
A30_kinect_rotate_pos,0.475864,0.9489
A30_kinect_rotate_neg,0.475864,0.9489
A30_kinect_stretch,0.475864,0.9489
A31_kinect,0.294597,0.9546
A31_kinect_mirror,0.294597,0.9546
A31_kinect_rotate_pos,0.294597,0.9546
A31_kinect_rotate_neg,0.294597,0.9546
A31_kinect_stretch,0.294597,0.9546
A32_kinect,1.315087,0.9637
A32_kinect_mirror,1.315087,0.9637
A32_kinect_rotate_pos,1.315087,0.9637
A32_kinect_rotate_neg,1.315087,0.9637
A32_kinect_stretch,1.315087,0.9637
A33_kinect,1.6148,0.9658
A33_kinect_mirror,1.6148,0.9658
A33_kinect_rotate_pos,1.6148,0.9658
A33_kinect_rotate_neg,1.6148,0.9658
A33_kinect_stretch,1.6148,0.9658
A34_kinect,1.603904,0.9599
A34_kinect_mirror,1.603904,0.9599
A34_kinect_rotate_pos,1.603904,0.9599
A34_kinect_rotate_neg,1.603904,0.9599
A34_kinect_stretch,1.603904,0.9599
A37_kinect,1.152403,0.969
A37_kinect_mirror,1.152403,0.969
A37_kinect_rotate_pos,1.152403,0.969
A37_kinect_rotate_neg,1.152403,0.969
A37_kinect_stretch,1.152403,0.969
A38_kinect,0.975896,0.9152
A38_kinect_mirror,0.975896,0.9152
A38_kinect_rotate_pos,0.975896,0.9152
A38_kinect_rotate_neg,0.975896,0.9152
A38_kinect_stretch,0.975896,0.9152
A39_kinect,2.741754,0.9004
A39_kinect_mirror,2.741754,0.9004
A39_kinect_rotate_pos,2.741754,0.9004
A39_kinect_rotate_neg,2.741754,0.9004
A39_kinect_stretch,2.741754,0.9004
A3_kinect,1.80279,0.9594
A3_kinect_mirror,1.80279,0.9594
A3_kinect_rotate_pos,1.80279,0.9594
A3_kinect_rotate_neg,1.80279,0.9594
A3_kinect_stretch,1.80279,0.9594
A40_kinect,1.408237,0.6371
A40_kinect_mirror,1.408237,0.6371
A40_kinect_rotate_pos,1.408237,0.6371
A40_kinect_rotate_neg,1.408237,0.6371
A40_kinect_stretch,1.408237,0.6371
A41_kinect,1.385053,0.9633
A41_kinect_mirror,1.385053,0.9633
A41_kinect_rotate_pos,1.385053,0.9633
A41_kinect_rotate_neg,1.385053,0.9633
A41_kinect_stretch,1.385053,0.9633
A42_kinect,1.51559,0.9557
A42_kinect_mirror,1.51559,0.9557
A42_kinect_rotate_pos,1.51559,0.9557
A42_kinect_rotate_neg,1.51559,0.9557
A42_kinect_stretch,1.51559,0.9557
A43_kinect,1.421066,0.954
A43_kinect_mirror,1.421066,0.954
A43_kinect_rotate_pos,1.421066,0.954
A43_kinect_rotate_neg,1.421066,0.954
A43_kinect_stretch,1.421066,0.954
A44_kinect,3.076726,0.9677
A44_kinect_mirror,3.076726,0.9677
A44_kinect_rotate_pos,3.076726,0.9677
A44_kinect_rotate_neg,3.076726,0.9677
A44_kinect_stretch,3.076726,0.9677
A46_kinect,1.901279,0.7984
A46_kinect_mirror,1.901279,0.7984
A46_kinect_rotate_pos,1.901279,0.7984
A46_kinect_rotate_neg,1.901279,0.7984
A46_kinect_stretch,1.901279,0.7984
A47_kinect,2.265626,0.9641
A47_kinect_mirror,2.265626,0.9641
A47_kinect_rotate_pos,2.265626,0.9641
A47_kinect_rotate_neg,2.265626,0.9641
A47_kinect_stretch,2.265626,0.9641
A48_kinect,2.040545,0.918
A48_kinect_mirror,2.040545,0.918
A48_kinect_rotate_pos,2.040545,0.918
A48_kinect_rotate_neg,2.040545,0.918
A48_kinect_stretch,2.040545,0.918
A49_kinect,2.278843,0.5062
A49_kinect_mirror,2.278843,0.5062
A49_kinect_rotate_pos,2.278843,0.5062
A49_kinect_rotate_neg,2.278843,0.5062
A49_kinect_stretch,2.278843,0.5062
A4_kinect,1.433507,0.9441
A4_kinect_mirror,1.433507,0.9441
A4_kinect_rotate_pos,1.433507,0.9441
A4_kinect_rotate_neg,1.433507,0.9441
A4_kinect_stretch,1.433507,0.9441
A51_kinect,2.0754,0.8524
A51_kinect_mirror,2.0754,0.8524
A51_kinect_rotate_pos,2.0754,0.8524
A51_kinect_rotate_neg,2.0754,0.8524
A51_kinect_stretch,2.0754,0.8524
A52_kinect,2.834581,0.6509
A52_kinect_mirror,2.834581,0.6509
A52_kinect_rotate_pos,2.834581,0.6509
A52_kinect_rotate_neg,2.834581,0.6509
A52_kinect_stretch,2.834581,0.6509
A55_kinect,2.961898,0.5387
A55_kinect_mirror,2.961898,0.5387
A55_kinect_rotate_pos,2.961898,0.5387
A55_kinect_rotate_neg,2.961898,0.5387
A55_kinect_stretch,2.961898,0.5387
A56_kinect,2.271822,0.7082
A56_kinect_mirror,2.271822,0.7082
A56_kinect_rotate_pos,2.271822,0.7082
A56_kinect_rotate_neg,2.271822,0.7082
A56_kinect_stretch,2.271822,0.7082
A57_kinect,2.384833,0.9122
A57_kinect_mirror,2.384833,0.9122
A57_kinect_rotate_pos,2.384833,0.9122
A57_kinect_rotate_neg,2.384833,0.9122
A57_kinect_stretch,2.384833,0.9122
A58_kinect,2.944502,0.708
A58_kinect_mirror,2.944502,0.708
A58_kinect_rotate_pos,2.944502,0.708
A58_kinect_rotate_neg,2.944502,0.708
A58_kinect_stretch,2.944502,0.708
A5_kinect,0.038691,0.9567
A5_kinect_mirror,0.038691,0.9567
A5_kinect_rotate_pos,0.038691,0.9567
A5_kinect_rotate_neg,0.038691,0.9567
A5_kinect_stretch,0.038691,0.9567
A61_kinect,1.757502,0.9273
A61_kinect_mirror,1.757502,0.9273
A61_kinect_rotate_pos,1.757502,0.9273
A61_kinect_rotate_neg,1.757502,0.9273
A61_kinect_stretch,1.757502,0.9273
A62_kinect,2.864565,0.8614
A62_kinect_mirror,2.864565,0.8614
A62_kinect_rotate_pos,2.864565,0.8614
A62_kinect_rotate_neg,2.864565,0.8614
A62_kinect_stretch,2.864565,0.8614
A63_kinect,1.686473,0.9525
A63_kinect_mirror,1.686473,0.9525
A63_kinect_rotate_pos,1.686473,0.9525
A63_kinect_rotate_neg,1.686473,0.9525
A63_kinect_stretch,1.686473,0.9525
A64_kinect,2.918059,0.9455
A64_kinect_mirror,2.918059,0.9455
A64_kinect_rotate_pos,2.918059,0.9455
A64_kinect_rotate_neg,2.918059,0.9455
A64_kinect_stretch,2.918059,0.9455
A65_kinect,3.068461,0.929
A65_kinect_mirror,3.068461,0.929
A65_kinect_rotate_pos,3.068461,0.929
A65_kinect_rotate_neg,3.068461,0.929
A65_kinect_stretch,3.068461,0.929
A66_kinect,2.85399,0.9506
A66_kinect_mirror,2.85399,0.9506
A66_kinect_rotate_pos,2.85399,0.9506
A66_kinect_rotate_neg,2.85399,0.9506
A66_kinect_stretch,2.85399,0.9506
A67_kinect,2.767164,0.9081
A67_kinect_mirror,2.767164,0.9081
A67_kinect_rotate_pos,2.767164,0.9081
A67_kinect_rotate_neg,2.767164,0.9081
A67_kinect_stretch,2.767164,0.9081
A68_kinect,2.995145,0.8841
A68_kinect_mirror,2.995145,0.8841
A68_kinect_rotate_pos,2.995145,0.8841
A68_kinect_rotate_neg,2.995145,0.8841
A68_kinect_stretch,2.995145,0.8841
A69_kinect,3.058153,0.9392
A69_kinect_mirror,3.058153,0.9392
A69_kinect_rotate_pos,3.058153,0.9392
A69_kinect_rotate_neg,3.058153,0.9392
A69_kinect_stretch,3.058153,0.9392
A6_kinect,0.800334,0.9517
A6_kinect_mirror,0.800334,0.9517
A6_kinect_rotate_pos,0.800334,0.9517
A6_kinect_rotate_neg,0.800334,0.9517
A6_kinect_stretch,0.800334,0.9517
A70_kinect,2.057554,0.9499
A70_kinect_mirror,2.057554,0.9499
A70_kinect_rotate_pos,2.057554,0.9499
A70_kinect_rotate_neg,2.057554,0.9499
A70_kinect_stretch,2.057554,0.9499
A71_kinect,2.790167,0.8247
A71_kinect_mirror,2.790167,0.8247
A71_kinect_rotate_pos,2.790167,0.8247
A71_kinect_rotate_neg,2.790167,0.8247
A71_kinect_stretch,2.790167,0.8247
A72_kinect,2.416113,0.5233
A72_kinect_mirror,2.416113,0.5233
A72_kinect_rotate_pos,2.416113,0.5233
A72_kinect_rotate_neg,2.416113,0.5233
A72_kinect_stretch,2.416113,0.5233
A74_kinect,1.623721,0.9384
A74_kinect_mirror,1.623721,0.9384
A74_kinect_rotate_pos,1.623721,0.9384
A74_kinect_rotate_neg,1.623721,0.9384
A74_kinect_stretch,1.623721,0.9384
A75_kinect,1.80899,0.9188
A75_kinect_mirror,1.80899,0.9188
A75_kinect_rotate_pos,1.80899,0.9188
A75_kinect_rotate_neg,1.80899,0.9188
A75_kinect_stretch,1.80899,0.9188
A78_kinect,3.521881,0.9336
A78_kinect_mirror,3.521881,0.9336
A78_kinect_rotate_pos,3.521881,0.9336
A78_kinect_rotate_neg,3.521881,0.9336
A78_kinect_stretch,3.521881,0.9336
A79_kinect,2.783191,0.7367
A79_kinect_mirror,2.783191,0.7367
A79_kinect_rotate_pos,2.783191,0.7367
A79_kinect_rotate_neg,2.783191,0.7367
A79_kinect_stretch,2.783191,0.7367
A7_kinect,0.80455,0.9518
A7_kinect_mirror,0.80455,0.9518
A7_kinect_rotate_pos,0.80455,0.9518
A7_kinect_rotate_neg,0.80455,0.9518
A7_kinect_stretch,0.80455,0.9518
A80_kinect,2.287865,0.8977
A80_kinect_mirror,2.287865,0.8977
A80_kinect_rotate_pos,2.287865,0.8977
A80_kinect_rotate_neg,2.287865,0.8977
A80_kinect_stretch,2.287865,0.8977
A81_kinect,2.698544,0.9785
A81_kinect_mirror,2.698544,0.9785
A81_kinect_rotate_pos,2.698544,0.9785
A81_kinect_rotate_neg,2.698544,0.9785
A81_kinect_stretch,2.698544,0.9785
A82_kinect,2.587088,0.8373
A82_kinect_mirror,2.587088,0.8373
A82_kinect_rotate_pos,2.587088,0.8373
A82_kinect_rotate_neg,2.587088,0.8373
A82_kinect_stretch,2.587088,0.8373
A84_kinect,1.716574,0.5483
A84_kinect_mirror,1.716574,0.5483
A84_kinect_rotate_pos,1.716574,0.5483
A84_kinect_rotate_neg,1.716574,0.5483
A84_kinect_stretch,1.716574,0.5483
A85_kinect,2.47209,0.8184
A85_kinect_mirror,2.47209,0.8184
A85_kinect_rotate_pos,2.47209,0.8184
A85_kinect_rotate_neg,2.47209,0.8184
A85_kinect_stretch,2.47209,0.8184
A86_kinect,2.013803,0.9777
A86_kinect_mirror,2.013803,0.9777
A86_kinect_rotate_pos,2.013803,0.9777
A86_kinect_rotate_neg,2.013803,0.9777
A86_kinect_stretch,2.013803,0.9777
A87_kinect,2.897675,0.9751
A87_kinect_mirror,2.897675,0.9751
A87_kinect_rotate_pos,2.897675,0.9751
A87_kinect_rotate_neg,2.897675,0.9751
A87_kinect_stretch,2.897675,0.9751
A88_kinect,2.872328,0.7985
A88_kinect_mirror,2.872328,0.7985
A88_kinect_rotate_pos,2.872328,0.7985
A88_kinect_rotate_neg,2.872328,0.7985
A88_kinect_stretch,2.872328,0.7985
A89_kinect,2.790146,0.8884
A89_kinect_mirror,2.790146,0.8884
A89_kinect_rotate_pos,2.790146,0.8884
A89_kinect_rotate_neg,2.790146,0.8884
A89_kinect_stretch,2.790146,0.8884
A8_kinect,1.108636,0.9569
A8_kinect_mirror,1.108636,0.9569
A8_kinect_rotate_pos,1.108636,0.9569
A8_kinect_rotate_neg,1.108636,0.9569
A8_kinect_stretch,1.108636,0.9569
A90_kinect,2.46511,0.6894
A90_kinect_mirror,2.46511,0.6894
A90_kinect_rotate_pos,2.46511,0.6894
A90_kinect_rotate_neg,2.46511,0.6894
A90_kinect_stretch,2.46511,0.6894
A91_kinect,2.733101,0.9436
A91_kinect_mirror,2.733101,0.9436
A91_kinect_rotate_pos,2.733101,0.9436
A91_kinect_rotate_neg,2.733101,0.9436
A91_kinect_stretch,2.733101,0.9436
A92_kinect,2.778626,0.8448
A92_kinect_mirror,2.778626,0.8448
A92_kinect_rotate_pos,2.778626,0.8448
A92_kinect_rotate_neg,2.778626,0.8448
A92_kinect_stretch,2.778626,0.8448
A94_kinect,2.598823,0.9634
A94_kinect_mirror,2.598823,0.9634
A94_kinect_rotate_pos,2.598823,0.9634
A94_kinect_rotate_neg,2.598823,0.9634
A94_kinect_stretch,2.598823,0.9634
A98_kinect,2.217537,0.9096
A98_kinect_mirror,2.217537,0.9096
A98_kinect_rotate_pos,2.217537,0.9096
A98_kinect_rotate_neg,2.217537,0.9096
A98_kinect_stretch,2.217537,0.9096
A99_kinect,3.283313,0.9623
A99_kinect_mirror,3.283313,0.9623
A99_kinect_rotate_pos,3.283313,0.9623
A99_kinect_rotate_neg,3.283313,0.9623
A99_kinect_stretch,3.283313,0.9623
A9_kinect,1.386389,0.9619
A9_kinect_mirror,1.386389,0.9619
A9_kinect_rotate_pos,1.386389,0.9619
A9_kinect_rotate_neg,1.386389,0.9619
A9_kinect_stretch,1.386389,0.9619
B10_kinect,1.49109,0.9697
B10_kinect_mirror,1.49109,0.9697
B10_kinect_rotate_pos,1.49109,0.9697
B10_kinect_rotate_neg,1.49109,0.9697
B10_kinect_stretch,1.49109,0.9697
B11_kinect,1.094415,0.9678
B11_kinect_mirror,1.094415,0.9678
B11_kinect_rotate_pos,1.094415,0.9678
B11_kinect_rotate_neg,1.094415,0.9678
B11_kinect_stretch,1.094415,0.9678
B12_kinect,0.516662,0.9693
B12_kinect_mirror,0.516662,0.9693
B12_kinect_rotate_pos,0.516662,0.9693
B12_kinect_rotate_neg,0.516662,0.9693
B12_kinect_stretch,0.516662,0.9693
B13_kinect,0.897532,0.9681
