clip,score,good_probability,predicted_label
A39_kinect,1.19464269638672,0.9004,GOOD
A3_kinect,1.08959056988354,0.9594,GOOD
A40_kinect,1.04544763060811,0.6371,GOOD
A41_kinect,1.04285386352016,0.9633,GOOD
A42_kinect,1.05745840596227,0.9557,GOOD
A43_kinect,1.04688297566635,0.954,GOOD
A44_kinect,1.2321196421721,0.9677,GOOD
A45_kinect,1.17909359663006,0.9571,GOOD
A46_kinect,1.10060967191627,0.7984,GOOD
A47_kinect,1.14137315439492,0.9641,GOOD
A48_kinect,1.11619079881441,0.918,GOOD
A49_kinect,1.1428518878668,0.5062,GOOD
A4_kinect,1.04827494432951,0.9441,GOOD
A50_kinect,1.11479836892571,0.8509,GOOD
A51_kinect,1.12009041733736,0.8524,GOOD
A52_kinect,1.20502835018411,0.6509,GOOD
A55_kinect,1.2192726123142,0.5387,GOOD
A56_kinect,1.14206633726388,0.7082,GOOD
A57_kinect,1.15471003981844,0.9122,GOOD
A58_kinect,1.21732637123917,0.708,GOOD
A59_kinect,1.20114937073132,0.5057,GOOD
A5_kinect,0.892221632444495,0.9567,GOOD
A61_kinect,1.08452372767589,0.9273,GOOD
A62_kinect,1.20838289332654,0.8614,GOOD
A63_kinect,1.07657698726314,0.9525,GOOD
A64_kinect,1.21436791855823,0.9455,GOOD
A65_kinect,1.23119497758184,0.929,GOOD
A66_kinect,1.20719984410416,0.9506,GOOD
A67_kinect,1.19748563123386,0.9081,GOOD
A68_kinect,1.2229923224756,0.8841,GOOD
A69_kinect,1.23004172861367,0.9392,GOOD
A6_kinect,0.977434925695385,0.9517,GOOD
A70_kinect,1.11809384603916,0.9499,GOOD
A71_kinect,1.20005923389123,0.8247,GOOD
A72_kinect,1.15820973822609,0.5233,GOOD
A74_kinect,1.06955624118545,0.9384,GOOD
A75_kinect,1.09028431073137,0.9188,GOOD
A78_kinect,1.28192398290032,0.9336,GOOD
A79_kinect,1.19927874750902,0.7367,GOOD
A7_kinect,0.977906631569111,0.9518,GOOD
A80_kinect,1.14386120365597,0.8977,GOOD
A81_kinect,1.18980834956868,0.9785,GOOD
A82_kinect,1.17733853128138,0.8373,GOOD
A83_kinect,1.20568887877198,0.8912,GOOD
A84_kinect,1.07994465363744,0.5483,GOOD
A85_kinect,1.16447252614645,0.8184,GOOD
A86_kinect,1.1131989495782,0.9777,GOOD
A87_kinect,1.21208729710661,0.9751,GOOD
A88_kinect,1.20925144460961,0.7985,GOOD
A89_kinect,1.20005683161771,0.8884,GOOD
A8_kinect,1.01192798515847,0.9569,GOOD
A90_kinect,1.16369157061263,0.6894,GOOD
A91_kinect,1.19367463239881,0.9436,GOOD
A92_kinect,1.19876802474336,0.8448,GOOD
A93_kinect,1.05471176051902,0.9669,GOOD
A94_kinect,1.17865151207658,0.9634,GOOD
A95_kinect,1.14678251928712,0.8386,GOOD
A96_kinect,1.11346038298249,0.9145,GOOD
A97_kinect,1.27779588410398,0.849,GOOD
A98_kinect,1.13599290296293,0.9096,GOOD
A99_kinect,1.25523280650608,0.9623,GOOD
A9_kinect,1.04300333906753,0.9619,GOOD
B10_kinect,1.0547173514494,0.9697,GOOD
B11_kinect,1.01033694933667,0.9678,GOOD
B12_kinect,0.945697479212401,0.9693,GOOD
B13_kinect,0.988309584442456,0.9681,GOOD
B14_kinect,1.05837230786077,0.9669,GOOD
B15_kinect,1.02791984339521,0.9659,GOOD
B16_kinect,0.997207059075705,0.965,GOOD
B17_kinect,1.04336029117756,0.9683,GOOD
B18_kinect,1.02288111771271,0.9643,GOOD
B19_kinect,0.951100515503366,0.9665,GOOD
B1_kinect,1.16270433565426,0.9674,GOOD
B20_kinect,1.0402826782091,0.9685,GOOD
B21_kinect,1.04660410579806,0.9665,GOOD
B22_kinect,1.02202257131639,0.9672,GOOD
B2_kinect,1.33541641267038,0.8259,GOOD
B3_kinect,1.26990895855416,0.8021,GOOD
B5_kinect,1.20345998612817,0.9142,GOOD
B6_kinect,1.04393748887893,0.9688,GOOD
B7_kinect,0.992186385913246,0.9684,GOOD
B8_kinect,1.03844341155632,0.9703,GOOD
B9_kinect,1.00583735689928,0.969,GOOD
